Hour,lat,lon,CD
0,22.75182,115.83849,0
0,22.75182,115.8511,0
0,22.76305,114.98089,3
0,22.76305,114.9935,3
0,22.76305,115.00611,2
0,22.76305,115.01873,3
0,22.76305,115.03134,0
0,22.76305,115.04395,0
0,22.76305,115.05656,0
0,22.76305,115.10701,0
0,22.76305,115.17007,0
0,22.76305,115.18268,0
0,22.76305,115.19529,0
0,22.76305,115.33402,0
0,22.76305,115.34663,14
0,22.76305,115.35924,0
0,22.76305,115.37186,0
0,22.76305,115.38447,0
0,22.76305,115.39708,0
0,22.76305,115.40969,0
0,22.76305,115.4223,14
0,22.76305,115.43492,5
0,22.76305,115.44753,5
0,22.76305,115.46014,7
0,22.76305,115.47275,6
0,22.76305,115.48536,4
0,22.76305,115.49797,8
0,22.76305,115.51059,6
0,22.76305,115.5232,2
0,22.76305,115.53581,0
0,22.76305,115.54842,0
0,22.76305,115.56103,0
0,22.76305,115.78805,0
0,22.76305,115.80066,3
0,22.76305,115.81327,3
0,22.76305,115.82588,4
0,22.76305,115.83849,0
0,22.76305,115.8511,0
0,22.76305,115.86372,0
0,22.77428,114.96828,1
0,22.77428,114.98089,2
0,22.77428,114.9935,1
0,22.77428,115.00611,0
0,22.77428,115.01873,2
0,22.77428,115.03134,0
0,22.77428,115.04395,0
0,22.77428,115.05656,0
0,22.77428,115.06917,0
0,22.77428,115.10701,0
0,22.77428,115.11962,0
0,22.77428,115.15746,0
0,22.77428,115.17007,0
0,22.77428,115.18268,0
0,22.77428,115.19529,0
0,22.77428,115.23313,0
0,22.77428,115.24574,0
0,22.77428,115.25835,0
0,22.77428,115.27096,0
0,22.77428,115.28357,0
0,22.77428,115.29619,0
0,22.77428,115.3088,0
0,22.77428,115.32141,0
0,22.77428,115.33402,0
0,22.77428,115.34663,26
0,22.77428,115.35924,17
0,22.77428,115.37186,0
0,22.77428,115.38447,0
0,22.77428,115.39708,0
0,22.77428,115.40969,9
0,22.77428,115.4223,2
0,22.77428,115.43492,6
0,22.77428,115.44753,3
0,22.77428,115.46014,3
0,22.77428,115.47275,3
0,22.77428,115.48536,4
0,22.77428,115.49797,1
0,22.77428,115.51059,6
0,22.77428,115.5232,0
0,22.77428,115.53581,0
0,22.77428,115.54842,0
0,22.77428,115.56103,0
0,22.77428,115.57365,0
0,22.77428,115.80066,6
0,22.77428,115.81327,2
0,22.77428,115.82588,2
0,22.77428,115.83849,5
0,22.77428,115.8511,1
0,22.77428,115.86372,0
0,22.77428,115.87633,0
0,22.77428,115.88894,0
0,22.78551,114.95567,0
0,22.78551,114.96828,1
0,22.78551,114.98089,1
0,22.78551,114.9935,1
0,22.78551,115.00611,0
0,22.78551,115.01873,1
0,22.78551,115.03134,5
0,22.78551,115.04395,0
0,22.78551,115.05656,0
0,22.78551,115.06917,0
0,22.78551,115.08179,0
0,22.78551,115.0944,0
0,22.78551,115.10701,0
0,22.78551,115.11962,0
0,22.78551,115.13223,0
0,22.78551,115.15746,1
0,22.78551,115.17007,0
0,22.78551,115.18268,0
0,22.78551,115.19529,0
0,22.78551,115.23313,0
0,22.78551,115.24574,0
0,22.78551,115.25835,0
0,22.78551,115.27096,5
0,22.78551,115.28357,0
0,22.78551,115.29619,0
0,22.78551,115.3088,19
0,22.78551,115.32141,0
0,22.78551,115.33402,7
0,22.78551,115.34663,12
0,22.78551,115.35924,8
0,22.78551,115.37186,20
0,22.78551,115.38447,11
0,22.78551,115.39708,12
0,22.78551,115.40969,9
0,22.78551,115.4223,7
0,22.78551,115.43492,5
0,22.78551,115.44753,3
0,22.78551,115.46014,2
0,22.78551,115.47275,5
0,22.78551,115.48536,4
0,22.78551,115.49797,5
0,22.78551,115.51059,6
0,22.78551,115.5232,16
0,22.78551,115.53581,0
0,22.78551,115.54842,0
0,22.78551,115.56103,0
0,22.78551,115.57365,0
0,22.78551,115.80066,2
0,22.78551,115.81327,4
0,22.78551,115.82588,0
0,22.78551,115.83849,6
0,22.78551,115.8511,2
0,22.78551,115.86372,5
0,22.78551,115.87633,0
0,22.78551,115.88894,0
0,22.78551,115.90155,0
0,22.78551,115.91416,0
0,22.78551,115.92678,0
0,22.78551,115.952,0
0,22.78551,115.96461,0
0,22.79674,114.94306,1
0,22.79674,114.95567,1
0,22.79674,114.96828,0
0,22.79674,114.98089,2
0,22.79674,114.9935,1
0,22.79674,115.00611,0
0,22.79674,115.01873,1
0,22.79674,115.03134,0
0,22.79674,115.04395,0
0,22.79674,115.05656,0
0,22.79674,115.06917,1
0,22.79674,115.08179,1
0,22.79674,115.0944,2
0,22.79674,115.10701,0
0,22.79674,115.11962,0
0,22.79674,115.13223,0
0,22.79674,115.14484,0
0,22.79674,115.15746,0
0,22.79674,115.17007,0
0,22.79674,115.18268,0
0,22.79674,115.23313,4
0,22.79674,115.24574,0
0,22.79674,115.25835,1
0,22.79674,115.27096,5
0,22.79674,115.28357,4
0,22.79674,115.29619,8
0,22.79674,115.3088,12
0,22.79674,115.32141,6
0,22.79674,115.33402,4
0,22.79674,115.34663,6
0,22.79674,115.35924,7
0,22.79674,115.37186,6
0,22.79674,115.38447,7
0,22.79674,115.39708,11
0,22.79674,115.40969,6
0,22.79674,115.4223,7
0,22.79674,115.43492,7
0,22.79674,115.44753,3
0,22.79674,115.46014,0
0,22.79674,115.47275,2
0,22.79674,115.48536,5
0,22.79674,115.49797,2
0,22.79674,115.51059,2
0,22.79674,115.5232,3
0,22.79674,115.53581,3
0,22.79674,115.54842,0
0,22.79674,115.56103,0
0,22.79674,115.57365,0
0,22.79674,115.58626,0
0,22.79674,115.78805,0
0,22.79674,115.80066,1
0,22.79674,115.81327,1
0,22.79674,115.82588,8
0,22.79674,115.83849,5
0,22.79674,115.8511,2
0,22.79674,115.86372,1
0,22.79674,115.87633,2
0,22.79674,115.88894,4
0,22.79674,115.90155,1
0,22.79674,115.91416,0
0,22.79674,115.92678,0
0,22.79674,115.93939,0
0,22.79674,115.952,4
0,22.79674,115.96461,0
0,22.79674,115.97722,0
0,22.80797,114.94306,2
0,22.80797,114.95567,2
0,22.80797,114.96828,3
0,22.80797,114.98089,4
0,22.80797,114.9935,1
0,22.80797,115.00611,1
0,22.80797,115.01873,2
0,22.80797,115.03134,1
0,22.80797,115.04395,1
0,22.80797,115.05656,2
0,22.80797,115.06917,0
0,22.80797,115.08179,0
0,22.80797,115.0944,1
0,22.80797,115.10701,7
0,22.80797,115.11962,3
0,22.80797,115.13223,1
0,22.80797,115.14484,1
0,22.80797,115.15746,2
0,22.80797,115.17007,0
0,22.80797,115.18268,0
0,22.80797,115.19529,0
0,22.80797,115.24574,0
0,22.80797,115.25835,0
0,22.80797,115.27096,6
0,22.80797,115.28357,5
0,22.80797,115.29619,8
0,22.80797,115.3088,8
0,22.80797,115.32141,2
0,22.80797,115.33402,5
0,22.80797,115.34663,3
0,22.80797,115.35924,4
0,22.80797,115.37186,9
0,22.80797,115.38447,11
0,22.80797,115.39708,9
0,22.80797,115.40969,11
0,22.80797,115.4223,9
0,22.80797,115.43492,5
0,22.80797,115.44753,5
0,22.80797,115.46014,2
0,22.80797,115.47275,0
0,22.80797,115.48536,5
0,22.80797,115.49797,0
0,22.80797,115.51059,2
0,22.80797,115.5232,1
0,22.80797,115.53581,1
0,22.80797,115.54842,0
0,22.80797,115.56103,0
0,22.80797,115.57365,0
0,22.80797,115.58626,0
0,22.80797,115.77543,0
0,22.80797,115.78805,0
0,22.80797,115.80066,6
0,22.80797,115.81327,6
0,22.80797,115.82588,6
0,22.80797,115.83849,3
0,22.80797,115.8511,1
0,22.80797,115.86372,3
0,22.80797,115.87633,6
0,22.80797,115.88894,4
0,22.80797,115.90155,4
0,22.80797,115.91416,4
0,22.80797,115.92678,3
0,22.80797,115.93939,5
0,22.80797,115.952,1
0,22.80797,115.96461,0
0,22.80797,115.97722,0
0,22.80797,115.98983,0
0,22.80797,116.09073,0
0,22.80797,116.10334,0
0,22.80797,116.11595,0
0,22.8192,114.94306,3
0,22.8192,114.95567,1
0,22.8192,114.96828,4
0,22.8192,114.98089,2
0,22.8192,114.9935,1
0,22.8192,115.00611,1
0,22.8192,115.01873,1
0,22.8192,115.03134,1
0,22.8192,115.04395,2
0,22.8192,115.05656,0
0,22.8192,115.06917,4
0,22.8192,115.08179,0
0,22.8192,115.0944,4
0,22.8192,115.10701,4
0,22.8192,115.11962,2
0,22.8192,115.13223,4
0,22.8192,115.14484,1
0,22.8192,115.15746,2
0,22.8192,115.17007,0
0,22.8192,115.18268,0
0,22.8192,115.19529,0
0,22.8192,115.2079,0
0,22.8192,115.22051,0
0,22.8192,115.23313,0
0,22.8192,115.24574,0
0,22.8192,115.25835,0
0,22.8192,115.27096,9
0,22.8192,115.28357,6
0,22.8192,115.29619,4
0,22.8192,115.3088,12
0,22.8192,115.32141,4
0,22.8192,115.33402,1
0,22.8192,115.34663,10
0,22.8192,115.35924,11
0,22.8192,115.37186,4
0,22.8192,115.38447,2
0,22.8192,115.39708,2
0,22.8192,115.40969,5
0,22.8192,115.4223,3
0,22.8192,115.43492,4
0,22.8192,115.44753,1
0,22.8192,115.46014,2
0,22.8192,115.47275,2
0,22.8192,115.48536,0
0,22.8192,115.49797,1
0,22.8192,115.51059,2
0,22.8192,115.5232,4
0,22.8192,115.53581,1
0,22.8192,115.54842,0
0,22.8192,115.56103,0
0,22.8192,115.57365,0
0,22.8192,115.58626,0
0,22.8192,115.76282,0
0,22.8192,115.77543,2
0,22.8192,115.78805,4
0,22.8192,115.80066,4
0,22.8192,115.81327,3
0,22.8192,115.82588,7
0,22.8192,115.83849,5
0,22.8192,115.8511,4
0,22.8192,115.86372,2
0,22.8192,115.87633,2
0,22.8192,115.88894,2
0,22.8192,115.90155,0
0,22.8192,115.91416,5
0,22.8192,115.92678,4
0,22.8192,115.93939,2
0,22.8192,115.952,4
0,22.8192,115.96461,7
0,22.8192,115.97722,0
0,22.8192,115.98983,0
0,22.8192,116.00245,0
0,22.8192,116.01506,0
0,22.8192,116.02767,0
0,22.8192,116.07812,0
0,22.8192,116.09073,4
0,22.8192,116.10334,0
0,22.8192,116.11595,0
0,22.8192,116.12856,0
0,22.8192,116.14118,0
0,22.83043,114.93044,1
0,22.83043,114.94306,2
0,22.83043,114.95567,3
0,22.83043,114.96828,3
0,22.83043,114.98089,1
0,22.83043,114.9935,4
0,22.83043,115.00611,0
0,22.83043,115.01873,3
0,22.83043,115.03134,2
0,22.83043,115.04395,3
0,22.83043,115.05656,2
0,22.83043,115.06917,5
0,22.83043,115.08179,3
0,22.83043,115.0944,2
0,22.83043,115.10701,1
0,22.83043,115.11962,1
0,22.83043,115.13223,4
0,22.83043,115.14484,6
0,22.83043,115.15746,2
0,22.83043,115.17007,1
0,22.83043,115.18268,1
0,22.83043,115.19529,0
0,22.83043,115.2079,0
0,22.83043,115.22051,0
0,22.83043,115.23313,5
0,22.83043,115.24574,0
0,22.83043,115.25835,2
0,22.83043,115.27096,0
0,22.83043,115.28357,0
0,22.83043,115.29619,7
0,22.83043,115.3088,14
0,22.83043,115.32141,4
0,22.83043,115.33402,5
0,22.83043,115.34663,7
0,22.83043,115.35924,12
0,22.83043,115.37186,5
0,22.83043,115.38447,3
0,22.83043,115.39708,7
0,22.83043,115.40969,5
0,22.83043,115.4223,4
0,22.83043,115.43492,2
0,22.83043,115.44753,4
0,22.83043,115.46014,2
0,22.83043,115.47275,0
0,22.83043,115.48536,1
0,22.83043,115.49797,1
0,22.83043,115.51059,2
0,22.83043,115.5232,3
0,22.83043,115.53581,0
0,22.83043,115.54842,1
0,22.83043,115.56103,2
0,22.83043,115.57365,0
0,22.83043,115.58626,0
0,22.83043,115.59887,0
0,22.83043,115.69976,0
0,22.83043,115.71237,0
0,22.83043,115.72499,0
0,22.83043,115.7376,0
0,22.83043,115.75021,0
0,22.83043,115.76282,2
0,22.83043,115.77543,1
0,22.83043,115.78805,4
0,22.83043,115.80066,3
0,22.83043,115.81327,3
0,22.83043,115.82588,3
